conditionTrigger | Schupo-Attentat-Zeugenaussage-2-final
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Естественно, он выскочил бы, чтобы помочь Паулю, но его держали четыре человека, и они тыкали его резиновой дубинкой всегда прямо в рожу, выбили три зуба ему. И он открыл широко рот и показал на черные пробелы в его челюсти. Добавьте ему еще, он еще хрипит, закричал один полицейский, когда другие хотели уже прекратить набрасываться на Пауля. Паулю сломали руку, и его физиономия выглядела как плацента. Они затем отвезли Пауля в полицейскую больницу, а его самого на Александерплац, где он потом снова оказался в приличном обществе. Через три недели они снова должны были освободить его, так как он предусмотрительный человек и приобрел себе охотничью лицензию уже четыре года назад. Но Пауль все еще лежит в больнице, и так должно было дойти до процесса. И эти бы отделались, когда заводят всегда такие странные знакомства, ни одна падаль не захочет быть там после этого. Естественно, Пауль не мог бы ничего сделать, так как они все как один выступили бы вперед, разумеется, и подняли бы палец и дали бы показания, что Пауля так побили еще в Сименсштадте, и что все, что он рассказывает, неправда, и он сам не может быть свидетелем согласно параграфу 51. Так Пауль не смог придать мячу правильное направление и мог только петь по прекрасным словам поэта: «Сломайте кораблю гордую мачту и порвите все паруса, но мы столкнем нашу тюрьму в Плётцензее и Тегеле». Обвинитель спросил: – А офицер, что делал офицер во время драки? – Да, он присутствовал там все время и отвернулся, и изучал инвентарный список участка очень внимательно. Знает ли он, кто был тот офицер? – Но, определенно, все же, он уже довольно часто имел такую честь, это был старший лейтенант Свиные щеки, – сказал парень, и обвинитель велел ему сесть…
quotationAuthor | Эрнст фон Заломон «Город»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
